,url
22,https://www.104.com.tw/jobs/search/?ro=0&kwop=7&keyword=%E8%B3%87%E6%96%99%E5%88%86%E6%9E%90&expansionType=area%2Cspec%2Ccom%2Cjob%2Cwf%2Cwktm&area=6001008005&edu=1%2C2%2C3%2C4&order=12&asc=0&s5=0&page=2&mode=s&jobsource=2018indexpoc&langFlag=0&langStatus=0&recommendJob=1&hotJob=1#
23,https://login.104.com.tw/register?source_partner=alertbar
24,https://www.104.com.tw/faq
25,https://www.104.com.tw/feedback
26,https://login.104.com.tw/register?source_partner=alertbar
27,https://www.104.com.tw/jobs/search/?ro=0&kwop=7&keyword=%E8%B3%87%E6%96%99%E5%88%86%E6%9E%90&expansionType=area%2Cspec%2Ccom%2Cjob%2Cwf%2Cwktm&area=6001008005&edu=1%2C2%2C3%2C4&order=12&asc=0&s5=0&page=2&mode=s&jobsource=2018indexpoc&langFlag=0&langStatus=0&recommendJob=1&hotJob=1#
28,https://www.104.com.tw/
29,https://pda.104.com.tw/work/jobStore
30,https://www.104.com.tw/jobs/search/?ro=0&kwop=7&keyword=%E8%B3%87%E6%96%99%E5%88%86%E6%9E%90&expansionType=area%2Cspec%2Ccom%2Cjob%2Cwf%2Cwktm&area=6001008005&edu=1%2C2%2C3%2C4&order=12&asc=0&s5=0&page=2&mode=s&jobsource=2018indexpoc&langFlag=0&langStatus=0&recommendJob=1&hotJob=1#
31,javascript:void(0)
32,https://www.104.com.tw/jobs/search/?ro=0&kwop=7&expansionType=area%2Cspec%2Ccom%2Cjob%2Cwf%2Cwktm&area=6001008005&edu=1%2C2%2C3%2C4&order=15&asc=0&s5=0&page=2&mode=s&langFlag=0&langStatus=0&recommendJob=1&hotJob=1&remoteWork=&irsTag=&keyword=%E6%95%B8%E6%93%9A%E5%88%86%E6%9E%90&jobsource=keyword2Keyword
33,https://www.104.com.tw/jobs/search/?ro=0&kwop=7&expansionType=area%2Cspec%2Ccom%2Cjob%2Cwf%2Cwktm&area=6001008005&edu=1%2C2%2C3%2C4&order=15&asc=0&s5=0&page=2&mode=s&langFlag=0&langStatus=0&recommendJob=1&hotJob=1&remoteWork=&irsTag=&keyword=%E5%88%86%E6%9E%90%E8%83%BD%E5%8A%9B&jobsource=keyword2Keyword
34,https://www.104.com.tw/jobs/search/?ro=0&kwop=7&expansionType=area%2Cspec%2Ccom%2Cjob%2Cwf%2Cwktm&area=6001008005&edu=1%2C2%2C3%2C4&order=15&asc=0&s5=0&page=2&mode=s&langFlag=0&langStatus=0&recommendJob=1&hotJob=1&remoteWork=&irsTag=&keyword=%E7%B5%B1%E8%A8%88&jobsource=keyword2Keyword
35,https://www.104.com.tw/jobs/search/?ro=0&kwop=7&expansionType=area%2Cspec%2Ccom%2Cjob%2Cwf%2Cwktm&area=6001008005&edu=1%2C2%2C3%2C4&order=15&asc=0&s5=0&page=2&mode=s&langFlag=0&langStatus=0&recommendJob=1&hotJob=1&remoteWork=&irsTag=&keyword=%E5%B0%88%E6%A1%88%E7%AE%A1%E7%90%86&jobsource=keyword2Keyword
36,https://www.104.com.tw/jobs/search/?ro=0&kwop=7&expansionType=area%2Cspec%2Ccom%2Cjob%2Cwf%2Cwktm&area=6001008005&edu=1%2C2%2C3%2C4&order=15&asc=0&s5=0&page=2&mode=s&langFlag=0&langStatus=0&recommendJob=1&hotJob=1&remoteWork=&irsTag=&keyword=%E9%82%8F%E8%BC%AF&jobsource=keyword2Keyword
37,https://www.104.com.tw/company/1a2x6bjz2y?jobsource=joblist_r_cust
38,https://www.104.com.tw/company/1a2x6bkc8e?jobsource=checkc
39,https://www.104.com.tw/company/1a2x6bmgii?jobsource=checkc
40,https://www.104.com.tw/company/1a2x6bmgii?jobsource=checkc
41,https://www.104.com.tw/company/1a2x6bl404?jobsource=checkc
42,https://www.104.com.tw/company/search/?jobsource=checkc&keyword=%E8%B3%87%E6%96%99%E5%88%86%E6%9E%90
43,javascript:;
44,javascript:;
